Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
141,30,3,67,4,Some Random Commen with Id 141
142,30,3,0,7,Some Random Commen with Id 142
143,31,3,163,9,Some Random Commen with Id 143
144,31,3,155,4,Some Random Commen with Id 144
145,31,3,3,7,Some Random Commen with Id 145
146,31,3,32,9,Some Random Commen with Id 146
147,31,3,8,0,Some Random Commen with Id 147
148,31,3,154,0,Some Random Commen with Id 148
149,31,3,46,3,Some Random Commen with Id 149
150,32,6,189,9,Some Random Commen with Id 150
151,32,6,93,4,Some Random Commen with Id 151
152,32,6,43,9,Some Random Commen with Id 152
153,32,6,32,3,Some Random Commen with Id 153
154,32,6,138,5,Some Random Commen with Id 154
155,33,5,43,0,Some Random Commen with Id 155
156,33,5,178,7,Some Random Commen with Id 156
157,33,5,121,1,Some Random Commen with Id 157
158,34,4,3,9,Some Random Commen with Id 158
159,34,4,99,3,Some Random Commen with Id 159
160,34,4,137,2,Some Random Commen with Id 160
161,35,6,144,1,Some Random Commen with Id 161
162,36,9,48,0,Some Random Commen with Id 162
163,36,9,197,5,Some Random Commen with Id 163
164,36,9,98,9,Some Random Commen with Id 164
165,36,9,77,2,Some Random Commen with Id 165
166,37,9,189,5,Some Random Commen with Id 166
167,37,9,188,5,Some Random Commen with Id 167
168,37,9,133,0,Some Random Commen with Id 168
169,37,9,90,7,Some Random Commen with Id 169
170,38,4,34,2,Some Random Commen with Id 170
171,38,4,169,1,Some Random Commen with Id 171
172,38,4,141,1,Some Random Commen with Id 172
173,39,1,113,1,Some Random Commen with Id 173
174,39,1,88,7,Some Random Commen with Id 174
175,39,1,79,4,Some Random Commen with Id 175
